strategy,spearman_mean,pearson_log_mean,ccc_mean,mape_pct_mean,n_metabolites_scored
one_shot_LLM_spec_T0.2,0.227,0.11,0.013,76.0,5
naive_default,0.124,0.019,0.013,108.0,10
best_individual,0.10705578741520468,0.057179788563372684,0.0007013507681759936,87.01593434010569,6
avg_top3,0.0786793264227907,0.029782522750605223,-0.0025861832494366035,62.277093236271554,9
avg_all,0.0766345452469252,0.041906040613185924,0.00341448654035101,69.02687204632687,9
bayes_tau0.2,0.07636002706516713,0.037982749858601506,0.003899196898596985,66.01579083130723,9
bayes_tau0.1,0.07596341996150249,0.034737038514887235,0.0033521449849255335,63.757684824784434,9
bayes_tau0.05,0.07519295820149899,0.030003285514237185,0.00045629504794553167,61.47606861665963,9
avg_top10,0.07478392065611807,0.025838498378137793,-0.0015392854846211397,61.10335677778393,9
avg_top5,0.07410625182157154,0.0177344068364041,-0.001015622817414137,84.555562991283,9
