spec,metabolite,spearman,pearson_log,ccc,mape_pct,n
llm_hmdb_informed,Lactate,0.49276594120756906,0.1346140613805457,0.04381604746602893,116.71325251199434,253
llm_hmdb_informed,Histidine,0.04819520162520005,-0.11227041806191645,-0.0021277173304855967,94.20584678616684,31
llm_hmdb_informed,Cysteine,0.13288625135295165,0.32387722614048325,0.002437859863217969,79.65617411419711,231
llm_hmdb_informed,Glucose,0.1562423372574074,0.12156924378887146,0.00887818808570964,176.44858282506414,252
llm_hmdb_informed,Glycine,0.0641789762231793,0.03971683226146867,0.008261773294519754,154.4500828391423,234
llm_hmdb_informed,Betaine,0.11603605874679285,0.11813397661703776,0.009976205459786915,90.35669260307641,95
llm_hmdb_informed,Pyruvate,0.19356405410867328,0.13462117596219814,0.02900398943444579,33.83684249314217,251
llm_hmdb_informed,Threonine,0.09286439642688274,0.030533240373860245,0.0019395676428830362,94.50528127593523,177
llm_hmdb_informed,Serine,0.33145161290322583,0.33714755213172404,0.005901105516005268,95.00744659201064,31
llm_hmdb_informed,Choline,,,,,0
llm_hmdb_informed,Creatine,0.0773655418075248,0.138184378105672,0.02746932598389365,38.39505599112402,250
llm_hmdb_informed,Creatinine,-0.012832496647227505,-0.007431242477630436,0.0010276373740795502,93.10158297275429,251
