temperature,sample_id,spearman_mean,pearson_log_mean,ccc_mean,mape_pct_mean,n_metabolites_scored
0.1,0,0.0839232165406857,0.06681872469417194,0.0032469220239549415,80.5442371222049,6
0.1,1,0.08896191631130525,0.06826567934486465,0.003085366673166122,81.42396916341725,6
0.1,2,0.039631046544771405,0.06006310354398705,0.0032703732445137548,84.92808674897934,6
0.1,3,0.03739815368987797,0.05887699905477406,0.0034424984888894905,84.75581985349557,6
0.1,4,-0.010385945541414249,-0.03237816500062659,-0.0019551957656923917,80.14240275870905,6
0.3,0,0.08896191631130525,0.06826567934486465,0.003085366673166122,81.42396916341725,6
0.3,1,0.055701148595701376,0.0372850770324434,0.0034338112039561525,83.71179677497376,6
0.3,2,0.09020075351440333,0.0681482072471328,0.003147374509881706,81.47673031543304,6
0.3,3,0.019022257623490482,-0.0038740839430819324,-0.00623382725234905,77.3095490797371,6
0.3,4,0.1054483325850513,0.055385792167167956,0.002208807413680455,76.79081430974594,6
0.5,0,-0.010385945541414249,-0.03237816500062659,-0.0019551957656923917,80.14240275870905,6
0.5,1,0.039631046544771405,0.06006310354398705,0.0032703732445137548,84.92808674897934,6
0.5,2,0.05728850650024458,0.07688427743633496,0.000455908945980948,85.04387189145386,6
0.5,3,0.09089558045479129,0.07773875147963773,0.0039906237867239685,79.69556032726926,6
0.5,4,0.056344183208063614,0.04552031749836172,0.002595484849879808,79.76689026838267,6
0.7,0,0.09058186233669366,0.05411122794128954,0.017567486584492854,142.28307117619622,7
0.7,1,0.09058186233669366,0.05411122794128954,0.017567486584492854,142.28307117619622,7
0.7,2,-0.010385945541414249,-0.03237816500062659,-0.0019551957656923917,80.14240275870905,6
0.7,3,0.03824112504986248,0.05181551750346084,0.003392597684236468,84.53464027315185,6
0.7,4,0.0036983771212577496,0.018057647962196735,0.0004435945644850832,86.65670777554926,5
