model,feature_repr,range_regime,real_spearman,synth_spearman,gap,real_pearson_log,synth_pearson_log,real_mape,synth_mape
ridge,bins300,PHYS,0.4161462425775331,0.12401977655693444,0.29212646602059866,0.35812771017220757,0.019358995494750647,21.137313554912954,108.24720516842126
ridge,bins300,HMDB,0.4161462425775331,0.2097028607756487,0.20644338180188437,0.35812771017220757,0.11675034231054451,21.137313554912954,171.4758772290357
ridge,bins300,CHENOMX,0.4161462425775331,0.18084109069093704,0.23530515188659604,0.35812771017220757,0.13881818743690622,21.137313554912954,81.52209697073235
pls,bins300,PHYS,0.3880430714795117,0.08530124070339126,0.3027418307761205,0.31679547738960223,0.028837550313662648,26.78382437111952,74.71054898721941
pls,bins300,HMDB,0.3880430714795117,0.1315414217646836,0.25650164971482814,0.31679547738960223,0.09642622979700062,26.78382437111952,62.18250392770633
pls,bins300,CHENOMX,0.3880430714795117,0.11741475569033041,0.27062831578918134,0.31679547738960223,0.0062356867459664525,26.78382437111952,196.87024305627878
rf,roi,PHYS,0.38062700514017095,0.05236195123222698,0.32826505390794397,0.34209082461252577,0.03724275861524648,18.34668766959393,88.30560824989307
rf,roi,HMDB,0.38062700514017095,0.025727009989213834,0.3548999951509571,0.34209082461252577,-0.002020003550148417,18.34668766959393,89.19543924657812
rf,roi,CHENOMX,0.38062700514017095,0.04522299248193833,0.3354040126582326,0.34209082461252577,0.025149603185208747,18.34668766959393,37.716137177227694
